City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
224,Souillac,MU,84.58,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
231,Teahupoo,PF,75.16,overcast clouds,-17.8333,-149.2667,Vanira Lodge
238,Hienghene,NC,75.72,few clouds,-20.6833,164.9333,Ka Waboana Lodge
239,Port Moresby,PG,74.62,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
240,Meulaboh,ID,78.84,few clouds,4.1363,96.1285,Kost Pria
245,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
248,Nieuw Amsterdam,SR,84.36,broken clouds,5.8833,-55.0833,Hotel Stardust
253,Antofagasta,CL,71.22,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
255,Odweyne,SO,74.05,overcast clouds,9.4092,45.064,Eng Hiirey House
259,Mumford,GH,84.31,clear sky,5.2618,-0.759,Spanish Villa
261,Balabac,PH,80.47,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
262,Kota Bahru,MY,78.75,few clouds,6.1333,102.2386,Grand Riverview Hotel
263,Luena,AO,72.32,light rain,-11.7833,19.9167,Hotel Kandamba
265,Banda Aceh,ID,79.57,scattered clouds,5.5577,95.3222,Sulthan Hotel International
270,Bosaso,SO,78.78,scattered clouds,11.2842,49.1816,Red Sea Hotel
272,Marovoay,MG,80.74,moderate rain,-16.1,46.6333,Hôtel les Oliviers Marovoay
276,Hithadhoo,MV,82.74,scattered clouds,-0.6,73.0833,Scoop Guest House
280,Lubao,PH,81.14,broken clouds,14.9167,120.55,Hacienda Gracia
281,Buique,BR,89.73,clear sky,-8.6231,-37.1558,Pousada Santos
282,Kerema,PG,77.95,light rain,-7.9631,145.7785,Frena Lodge
292,Mogadishu,SO,84.07,clear sky,2.0371,45.3438,Hotel Juba
294,Codrington,AU,72.28,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
301,Padang,ID,77.61,moderate rain,-0.9492,100.3543,Mercure Padang
303,Ponnani,IN,79.92,clear sky,10.767,75.9252,Rouba Residency
305,Quelimane,MZ,85.95,scattered clouds,-17.8786,36.8883,Hotel Flamingo
306,Champerico,GT,88.36,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
307,Mahebourg,MU,84.49,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
308,Namibe,AO,79.68,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
310,Sola,VU,82.18,overcast clouds,-13.8833,167.55,Leumerus Bungalows
312,Ambilobe,MG,74.61,moderate rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
313,Banjar,ID,82.26,overcast clouds,-8.19,114.9675,The Hamsa Resort
314,Humberto De Campos,BR,84.74,scattered clouds,-2.5983,-43.4611,Pousada do Cabeça
318,Nhulunbuy,AU,79.41,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
319,Auki,SB,79.09,scattered clouds,-8.7676,160.7034,Auki Motel
320,Sipe Sipe,BO,71.15,overcast clouds,-17.45,-66.3833,Cabañas Oasis Marino
328,Vilhena,BR,80.82,clear sky,-12.7406,-60.1458,Hotel Mirage
329,Ambagarh Chauki,IN,70.25,scattered clouds,20.7833,80.7167,गाँधी चौक शांति भवन सोनसाय टोला
334,Taltal,CL,70.43,few clouds,-25.4,-70.4833,Residencial Karime
338,Port-Gentil,GA,84.16,few clouds,-0.7193,8.7815,Fengshui Residence
340,Alugan,PH,78.19,scattered clouds,12.2188,125.4808,JM Lodge
345,Saint-Philippe,RE,87.39,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
346,Mount Isa,AU,76.77,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
347,Namatanai,PG,79.59,light rain,-3.6667,152.4333,Seagulls Inn Namatani
354,Brokopondo,SR,80.83,overcast clouds,4.75,-55.1667,Matu Island
358,Yarada,IN,73.72,mist,17.65,83.2667,Yarada Jungle Beach Resorts
361,Itarema,BR,85.86,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
364,Chiredzi,ZW,82.74,overcast clouds,-21.05,31.6667,Clevers Hotel Chiredzi
365,Pindiga,NG,86.47,clear sky,9.9833,10.9333,Accommodation Center
370,Touros,BR,88.7,few clouds,-5.1989,-35.4608,INN NEW HORIZON
377,Acapulco,MX,77.27,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
382,Poum,NC,80.22,scattered clouds,-20.2333,164.0167,Gîte kajeon
386,Luanda,AO,82.4,clear sky,-8.8368,13.2343,Hotel Fórum
389,Garowe,SO,82.29,overcast clouds,8.4054,48.4845,Curubo Hotel
390,Richards Bay,ZA,77.83,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
392,Marang,MY,78.71,clear sky,5.2056,103.2059,DBarakah Homestay
399,Kutum,SD,75.6,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
401,Broken Hill,AU,78.51,light rain,-31.95,141.4333,Royal Exchange Hotel
403,Puerto Colombia,CO,82.49,clear sky,10.9878,-74.9547,Hotel El Emigrante
404,Caravelas,BR,84.92,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
