City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
292,Mogadishu,SO,2.0371,45.3438,84.07,70,0,23.02,clear sky
293,La Ronge,CA,55.1001,-105.2842,-16.35,76,75,1.14,broken clouds
294,Codrington,AU,-38.2667,141.9667,72.28,47,55,14.58,broken clouds
295,Oakdale,US,44.963,-92.9649,11.62,65,0,1.99,clear sky
296,Sitka,US,57.0531,-135.33,42.51,98,100,7.07,moderate rain
297,Scalea,IT,39.813,15.7956,50.34,45,0,6.4,clear sky
298,Pokaran,IN,26.9167,71.9167,63.75,45,97,12.91,overcast clouds
299,Wildwood,US,38.5828,-90.6629,22.57,62,40,3.0,scattered clouds
300,Burgdorf,DE,52.4463,10.0064,45.95,93,100,3.0,overcast clouds
301,Padang,ID,-0.9492,100.3543,77.61,89,99,4.79,moderate rain
302,Ulladulla,AU,-35.35,150.4667,63.88,78,95,4.0,overcast clouds
303,Ponnani,IN,10.767,75.9252,79.92,75,5,8.7,clear sky
304,Cherskiy,RU,68.75,161.3,-50.6,100,100,5.88,overcast clouds
305,Quelimane,MZ,-17.8786,36.8883,85.95,62,40,13.8,scattered clouds
306,Champerico,GT,14.3,-91.9167,88.36,58,0,1.95,clear sky
307,Mahebourg,MU,-20.4081,57.7,84.49,79,75,16.11,broken clouds
308,Namibe,AO,-15.1961,12.1522,79.68,63,37,14.76,scattered clouds
309,Valley City,US,46.9233,-98.0032,2.39,71,75,5.75,broken clouds
310,Sola,VU,-13.8833,167.55,82.18,77,100,11.03,overcast clouds
311,Mogapi,BW,-22.323,27.8349,76.44,40,82,13.4,broken clouds
312,Ambilobe,MG,-13.2,49.05,74.61,94,100,10.71,moderate rain
313,Banjar,ID,-8.19,114.9675,82.26,90,100,7.23,overcast clouds
314,Humberto De Campos,BR,-2.5983,-43.4611,84.74,69,43,5.64,scattered clouds
315,Pechenga,RU,69.5259,31.1703,20.26,77,100,21.43,overcast clouds
316,Penzance,GB,50.1186,-5.5371,47.41,69,100,7.45,overcast clouds
317,Kachug,RU,53.9606,105.8817,0.63,98,100,1.63,overcast clouds
318,Nhulunbuy,AU,-12.2333,136.7667,79.41,94,40,4.61,scattered clouds
319,Auki,SB,-8.7676,160.7034,79.09,85,36,6.82,scattered clouds
320,Sipe Sipe,BO,-17.45,-66.3833,71.15,49,92,3.62,overcast clouds
321,Kiruna,SE,67.8557,20.2251,16.72,86,92,11.5,overcast clouds
322,Adelanto,US,34.5828,-117.4092,50.16,37,0,8.79,clear sky
323,Laguna,US,38.421,-121.4238,58.84,40,40,5.77,scattered clouds
324,Khandyga,RU,62.6667,135.6,-31.59,100,95,0.45,overcast clouds
325,Maniwaki,CA,46.3834,-75.966,-12.62,77,96,1.14,overcast clouds
326,Elizabeth City,US,36.2946,-76.2511,32.05,94,99,1.99,overcast clouds
327,Tezu,IN,27.9167,96.1667,57.06,72,98,3.71,overcast clouds
328,Vilhena,BR,-12.7406,-60.1458,80.82,74,0,2.3,clear sky
329,Ambagarh Chauki,IN,20.7833,80.7167,70.25,46,25,2.35,scattered clouds
330,Ketchikan,US,55.3422,-131.6461,43.27,93,100,17.27,mist
331,Yuxia,CN,34.0615,108.6291,30.81,84,90,1.45,light snow
332,Shitkino,RU,56.3703,98.3543,1.72,99,100,1.23,overcast clouds
333,Thompson,CA,55.7435,-97.8558,-25.44,75,20,5.75,few clouds
334,Taltal,CL,-25.4,-70.4833,70.43,67,18,7.0,few clouds
335,Chambas,CU,22.1928,-78.9136,80.96,63,56,3.74,broken clouds
336,Hervey Bay,AU,-25.2986,152.8535,69.91,79,33,11.65,light rain
337,Aykhal,RU,66.0,111.5,-6.07,100,11,6.51,few clouds
338,Port-Gentil,GA,-0.7193,8.7815,84.16,74,20,12.66,few clouds
339,Nishihara,JP,26.1842,127.7558,67.28,73,75,11.5,light rain
340,Alugan,PH,12.2188,125.4808,78.19,84,25,12.15,scattered clouds
341,Longyearbyen,SJ,78.2186,15.6401,31.84,69,40,13.8,scattered clouds
342,Chifeng,CN,42.2683,118.9636,13.48,65,49,0.2,scattered clouds
343,Tsumeb,NA,-19.2333,17.7167,85.55,19,9,14.92,clear sky
344,Eureka,US,40.8021,-124.1637,42.37,89,96,9.62,overcast clouds
345,Saint-Philippe,RE,-21.3585,55.7679,87.39,87,40,17.47,scattered clouds
346,Mount Isa,AU,-20.7333,139.5,76.77,83,75,4.61,light rain
